I, [2019-04-19T14:33:58.726180 #6720]  INFO -- Kitchen: -----> Starting Kitchen (v1.24.0)
E, [2019-04-19T14:33:58.731861 #6720] ERROR -- Kitchen: ------Exception-------
E, [2019-04-19T14:33:58.731988 #6720] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2019-04-19T14:33:58.732096 #6720] ERROR -- Kitchen: Message: Kitchen YAML file C:/Users/Teja/Downloads/Compressed/chef-repo/.kitchen.yml does not exist.
E, [2019-04-19T14:33:58.732196 #6720] ERROR -- Kitchen: ----------------------
E, [2019-04-19T14:33:58.732289 #6720] ERROR -- Kitchen: ------Backtrace-------
E, [2019-04-19T14:33:58.732381 #6720] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2019-04-19T14:33:58.732474 #6720] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:152:in `data'
E, [2019-04-19T14:33:58.732565 #6720] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:131:in `suites'
E, [2019-04-19T14:33:58.732657 #6720] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:182:in `filter_instances'
E, [2019-04-19T14:33:58.732749 #6720] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:141:in `build_instances'
E, [2019-04-19T14:33:58.732839 #6720] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:117:in `instances'
E, [2019-04-19T14:33:58.732929 #6720] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2019-04-19T14:33:58.733025 #6720] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2019-04-19T14:33:58.733114 #6720] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/command/action.rb:35:in `block in call'
E, [2019-04-19T14:33:58.733203 #6720] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/2.5.0/benchmark.rb:293:in `measure'
E, [2019-04-19T14:33:58.733292 #6720] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/command/action.rb:34:in `call'
E, [2019-04-19T14:33:58.733381 #6720] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/cli.rb:52:in `perform'
E, [2019-04-19T14:33:58.733470 #6720] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/cli.rb:193:in `block (2 levels) in <class:CLI>'
E, [2019-04-19T14:33:58.733560 #6720] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.3/lib/thor/command.rb:27:in `run'
E, [2019-04-19T14:33:58.733648 #6720] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.3/lib/thor/invocation.rb:126:in `invoke_command'
E, [2019-04-19T14:33:58.733756 #6720] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.3/lib/thor.rb:387:in `dispatch'
E, [2019-04-19T14:33:58.733845 #6720] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.3/lib/thor/base.rb:466:in `start'
E, [2019-04-19T14:33:58.733934 #6720] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/bin/kitchen:13:in `block in <top (required)>'
E, [2019-04-19T14:33:58.734023 #6720] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2019-04-19T14:33:58.734112 #6720] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/bin/kitchen:13:in `<top (required)>'
E, [2019-04-19T14:33:58.734202 #6720] ERROR -- Kitchen: C:/opscode/chefdk/bin/kitchen:322:in `load'
E, [2019-04-19T14:33:58.734291 #6720] ERROR -- Kitchen: C:/opscode/chefdk/bin/kitchen:322:in `<main>'
E, [2019-04-19T14:33:58.734429 #6720] ERROR -- Kitchen: ----End Backtrace-----
