I, [2019-05-01T12:11:30.618585 #7984]  INFO -- Kitchen: -----> Starting Kitchen (v1.24.0)
E, [2019-05-01T12:11:30.623881 #7984] ERROR -- Kitchen: ------Exception-------
E, [2019-05-01T12:11:30.624034 #7984] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2019-05-01T12:11:30.624146 #7984] ERROR -- Kitchen: Message: Kitchen YAML file C:/Users/Teja/Downloads/Compressed/chef-repo/cookbooks/.kitchen.yml does not exist.
E, [2019-05-01T12:11:30.624251 #7984] ERROR -- Kitchen: ----------------------
E, [2019-05-01T12:11:30.624350 #7984] ERROR -- Kitchen: ------Backtrace-------
E, [2019-05-01T12:11:30.624447 #7984] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2019-05-01T12:11:30.624544 #7984] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:152:in `data'
E, [2019-05-01T12:11:30.624641 #7984] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:131:in `suites'
E, [2019-05-01T12:11:30.624736 #7984] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:182:in `filter_instances'
E, [2019-05-01T12:11:30.624831 #7984] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:141:in `build_instances'
E, [2019-05-01T12:11:30.624926 #7984] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:117:in `instances'
E, [2019-05-01T12:11:30.625020 #7984] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2019-05-01T12:11:30.625124 #7984] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2019-05-01T12:11:30.625190 #7984] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/command/action.rb:35:in `block in call'
E, [2019-05-01T12:11:30.625256 #7984] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/2.5.0/benchmark.rb:293:in `measure'
E, [2019-05-01T12:11:30.625322 #7984] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/command/action.rb:34:in `call'
E, [2019-05-01T12:11:30.625388 #7984] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/cli.rb:52:in `perform'
E, [2019-05-01T12:11:30.625453 #7984] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/cli.rb:193:in `block (2 levels) in <class:CLI>'
E, [2019-05-01T12:11:30.625519 #7984] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.3/lib/thor/command.rb:27:in `run'
E, [2019-05-01T12:11:30.625584 #7984] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.3/lib/thor/invocation.rb:126:in `invoke_command'
E, [2019-05-01T12:11:30.625650 #7984] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.3/lib/thor.rb:387:in `dispatch'
E, [2019-05-01T12:11:30.625716 #7984] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.3/lib/thor/base.rb:466:in `start'
E, [2019-05-01T12:11:30.625782 #7984] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/bin/kitchen:13:in `block in <top (required)>'
E, [2019-05-01T12:11:30.625848 #7984] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2019-05-01T12:11:30.625913 #7984] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/bin/kitchen:13:in `<top (required)>'
E, [2019-05-01T12:11:30.625979 #7984] ERROR -- Kitchen: C:/opscode/chefdk/bin/kitchen:322:in `load'
E, [2019-05-01T12:11:30.626075 #7984] ERROR -- Kitchen: C:/opscode/chefdk/bin/kitchen:322:in `<main>'
E, [2019-05-01T12:11:30.626185 #7984] ERROR -- Kitchen: ----End Backtrace-----
